id,words,syllables,syllables_per_word,word_letter_count,characters,characters_spaces,alphanumeric,alpha,articles,sentences,sentence_len_stdev,min_words_per_sentence,max_words_per_sentence,avg_words_per_sentence,words_per_sentence_stdev,syllables_per_sentence,letters_per_sentence,paragraphs,word_per_paragraph,pages_paperback,pages_a4,to_be_verbs,contractions,pauses,words_between_pauses,pauses_per_sentence,syllables_between_pauses,questions,question_sentence_ratio,unique_words,pronouns,first_person_pronouns,second_person_pronouns,third_person_pronouns,prepositions,cliches,similes
128,111586,157950,1.42,4.15,481521,597748,463324,463253,9520,4668,74.27,1,408,23.9,0.19,33.84,99.24,1869,59.7,278.96,159.41,3566,364,12112,9.21,2.59,13.04,246,0.0527,6551,17716,34,12,53,19845,21,153
130,63819,96685,1.51,4.4,289215,356545,281075,281067,6124,3174,57.78,1,106,20.11,0.57,30.46,88.55,257,248.32,159.55,91.17,3614,124,4266,14.96,1.34,22.66,93,0.0293,6780,5940,32,5,61,11434,13,75
131,58051,77247,1.33,4,245481,307230,232264,229801,3583,3135,102.43,1,163,18.52,0.43,24.64,73.3,1044,55.6,145.13,82.93,2240,163,8479,6.85,2.7,9.11,403,0.1285,4510,9103,31,8,59,9950,10,29
132,54037,80057,1.48,4.39,250791,315778,237288,234877,4698,3264,82.21,1,159,16.56,0.09,24.53,71.96,1166,46.34,135.09,77.2,2412,291,6792,7.95,2.08,11.79,46,0.0141,6598,3765,21,11,67,9604,11,21
134,45090,71079,1.58,4.54,213775,259803,204648,204611,3625,1609,97.03,1,145,28.02,0.22,44.18,127.17,496,90.91,112.72,64.41,1474,0,5300,8.51,3.29,13.41,108,0.0671,6352,6298,43,2,53,8942,7,22
135,565704,856433,1.51,4.46,2648432,3234925,2522332,2519826,55681,36739,94.23,1,456,15.4,0.01,23.31,68.59,13644,41.46,1414.26,808.15,24062,2734,70483,8.03,1.92,12.15,2976,0.081,26501,58525,16,8,74,101289,53,332
139,75759,112444,1.48,4.33,342714,424011,328269,328236,6727,4492,71.64,1,158,16.87,0.3,25.03,73.07,1237,61.24,189.4,108.23,3030,428,7397,10.24,1.65,15.2,359,0.0799,8501,9686,48,9,42,14075,16,48
140,149124,212947,1.43,4.23,658395,809497,630717,630526,13485,6675,88.49,1,161,22.34,0.02,31.9,94.46,1506,99.02,372.81,213.03,6157,822,12516,11.91,1.88,17.01,519,0.0778,11726,17269,4,4,90,27683,41,103
141,159540,234321,1.47,4.33,721684,883302,691520,691488,9859,6900,118.81,1,203,23.12,0.06,33.96,100.22,1841,86.66,398.85,227.91,7944,972,15137,10.54,2.19,15.48,471,0.0683,8548,22403,19,10,70,28719,15,199
142,94441,139277,1.47,4.31,427074,523378,407009,406610,7192,5116,97.99,1,251,18.46,0.24,27.22,79.48,1689,55.92,236.1,134.92,3799,776,8713,10.84,1.7,15.98,426,0.0833,10692,12406,30,8,60,15757,15,71
143,115158,171990,1.49,4.41,534571,652694,508232,508144,9535,6714,77.38,1,129,17.15,0.73,25.62,75.68,2444,47.12,287.89,164.51,4201,1572,8898,12.94,1.33,19.33,619,0.0922,11802,14157,17,8,73,21208,25,118
