id,title,author,author_birth_year,author_death_year,downloads
22943,The Nebuly Coat,"Falkner, John Meade",1858,1932,241
5347,Understood Betsy,"Fisher, Dorothy Canfield",1879,1958,241
58611,"New Hampshire, A Poem; with Notes and Grace Notes","Frost, Robert",1874,1963,241
4047,The Leavenworth Case,"Green, Anna Katharine",1846,1935,241
11984,A Pluralistic Universe: Hibbert Lectures at Manchester College on the Present Situation in Philosophy,"James, William",1842,1910,241
50316,The Fables of La Fontaine,"La Fontaine, Jean de",1621,1695,241
12254,Illustrated History of Furniture: From the Earliest to the Present Time,"Litchfield, Frederick",1850,1930,241
25942,The Translations of Beowulf: A Critical Bibliography,"Tinker, Chauncey Brewster",1876,1963,241
38593,"The History of the Knights Templars, the Temple Church, and the Temple","Addison, C. G. (Charles Greenstreet)",0,1866,240
2298,Great Astronomers,"Ball, Robert S. (Robert Stawell)",1840,1913,240
54487,Waterfowl Identification Guide,Central Flyway Council,0,0,240
37036,The Key to Success,"Conwell, Russell H.",1843,1925,240
177,The American,"James, Henry",1843,1916,240
1980,Stories by English Authors: Africa (Selected by Scribners),,0,0,240
51161,Degeneration,"Nordau, Max Simon",1849,1923,240
166,Summer,"Wharton, Edith",1862,1937,240
44,The Song of the Lark,"Cather, Willa",1873,1947,239
914,The Uncommercial Traveller,"Dickens, Charles",1812,1870,239
16831,The Improvement of Human Reason: Exhibited in the Life of Hai Ebn Yokdhan,"Ibn Tufayl, Muhammad ibn 'Abd al-Malik",0,1185,239
225,At the Back of the North Wind,"MacDonald, George",1824,1905,239
37955,"The Life and Letters of Mary Wollstonecraft Shelley, Volume 1 (of 2)","Marshall, Julian, Mrs.",1843,1922,239
58845,Index of the Project Gutenberg Works of Alexander Pope,"Pope, Alexander",1688,1744,239
15041,The Negro Problem,Various Authors,0,0,239
1715,Eugenie Grandet,"Balzac, Honore de",1799,1850,238
1949,On the Ruin of Britain,Gildas,0,0,238
29614,The Game of Rat and Dragon,"Linebarger, Paul Myron Anthony",1913,1966,238
1346,The Eighteenth Brumaire of Louis Bonaparte,"Marx, Karl",1818,1883,238
1270,In Defense of Women,"Mencken, H. L. (Henry Louis)",1880,1956,238
39537,Medieval English Nunneries c. 1275 to 1535,"Power, Eileen",1889,1940,238
41659,The Swiss Family Robinson: A Translation from the Original German,"Wyss, Johann David",1743,1818,238
56621,Aurora Leigh,"Browning, Elizabeth Barrett",1806,1861,237
19831,"The Rise and Fall of the Confederate Government, Volume 1","Davis, Jefferson",1808,1889,237
40373,A Guide to Health,"Gandhi, Mahatma",1869,1948,237
3457,The Man of the Forest,"Grey, Zane",1872,1939,237
3308,The Bontoc Igorot,"Jenks, Albert Ernest",1869,1953,237
32540,My First Summer in the Sierra,"Muir, John",1838,1914,237
18464,"The Wit and Humor of America, Volume I. (of X.)",,0,0,237
2020,Tarzan the Terrible,"Burroughs, Edgar Rice",1875,1950,236
55283,"The Bet, and other stories","Chekhov, Anton Pavlovich",1860,1904,236
58739,Index of the Project Gutenberg Works of Benjamin Disraeli,"Disraeli, Benjamin, Earl of Beaconsfield",1804,1881,236
18894,Then I'll Come Back to You,"Evans, Larry",0,1925,236
46134,Garden Cities of To-Morrow: Being the Second Edition of 'To-Morrow: a Peaceful Path to Real Reform',"Howard, Ebenezer, Sir",1850,1928,236
7031,The Sheik: A Novel,"Hull, E. M. (Edith Maude)",0,1947,236
17502,Pen Drawing: An Illustrated Treatise,"Maginnis, Charles Donagh",1867,1955,236
2888,Yorkshire Dialect Poems (1673-1915) and traditional poems,"Moorman, F. W. (Frederic William)",1872,1919,236
51762,Manx Fairy Tales,"Morrison, Sophia",1859,1917,236
9363,The Best British Short Stories of 1922,,0,0,236
4666,Letters from an American Farmer,"St. John de Crevecoeur, J. Hector",1735,1813,236
3608,The Ragged Trousered Philanthropists,"Tressell, Robert",1870,1911,236
11483,The Life and Letters of Lewis Carroll (Rev. C. L. Dodgson),"Collingwood, Stuart Dodgson",1870,1937,235
1202,Tales of Unrest,"Conrad, Joseph",1857,1924,235
25830,A Discourse of a Method for the Well Guiding of Reason: and the Discovery of Truth in the Sciences,"Descartes, Rene",1596,1650,235
31885,Bible Myths and their Parallels in other Religions,"Doane, T. W. (Thomas William)",1852,1885,235
318,John Barleycorn,"London, Jack",1876,1916,235
19264,Japanese Literature: Including Selections from Genji Monogatari and Classical Poetry and Drama of Japan,,0,0,235
47285,"Sindbad the Sailor, & Other Stories from the Arabian Nights",Anonymous,0,0,234
1493,The Legends of the Jews - Volume 1,"Ginzberg, Louis",1873,1953,234
360,What is Property? An Inquiry into the Principle of Right and of Government,"Proudhon, P.-J. (Pierre-Joseph)",1809,1865,234
9404,The Story of the Malakand Field Force: An Episode of Frontier War,"Churchill, Winston",1874,1965,233
53910,The School and Society: Being three lectures,"Dewey, John",1859,1952,233
4070,The Master Builder,"Ibsen, Henrik",1828,1906,233
3714,Undine,"La Motte-Fouque, Friedrich Heinrich Karl, Freiherr de",1777,1843,233
21964,The Short-story,,0,0,233
54740,"The Philippine Islands, 1493-1898: Volume 48, 1751-1765",,0,0,233
58844,Index of the Project Gutenberg Works of James Whitcomb Riley,"Riley, James Whitcomb",1849,1916,233
492,Essays in the Art of Writing,"Stevenson, Robert Louis",1850,1894,233
40781,The Art of Cross-Examination: With the Cross-Examinations of Important Witnesses in Some Celebrated Cases,"Wellman, Francis L. (Francis Lewis)",1854,1942,233
12623,The Life and Adventures of Robinson Crusoe (1808),"Defoe, Daniel",0,1731,232
1570,The Power of Concentration,"Dumont, Theron Q.",0,0,232
26711,Jewish Fairy Tales and Legends,"Landa, Gertrude",0,0,232
33435,The Dramatic Works of G. E. Lessing,"Lessing, Gotthold Ephraim",1729,1781,232
37775,Etidorhpa,"Lloyd, John Uri",1849,1936,232
58,Paradise Regained,"Milton, John",1608,1674,232
25359,"Boys and Girls Bookshelf; a Practical Plan of Character Building, Volume I (of 17): Fun and Thought for Little Folk",Various,0,0,232
780,The War in the Air,"Wells, H. G. (Herbert George)",1866,1946,232
